Order,Video,time_s,time_e,,hand gesture,,video editing,,time adjustment,
,,1:11,1:14,Y,shaping,Y,labeling,,,
,,1:16,1:18,Y,pointing,Y,labeling,,,
,,1:59,2:09,Y,moving,Y,labeling,,,
,,2:21,2:28,Y,moving,Y,labeling,,,
,,3:12,3:16,Y,moving,Y,tracing,,,
,,3:40,3:42,Y,pointing,Y,labeling,,,
,,4:49,4:57,Y,pointing,,,,,
,,4:57,4:59,Y,moving,,,,,
,,5:36,5:48,Y,pointing,Y,labeling,,,
,,6:08,6:25,Y,pointing,Y,labeling,,,
,,6:41,6:56,Y,pointing,Y,labeling,,,
,,7:20,7:35,,,Y,labeling,,,
,,7:35,7:46,Y,pointing,Y,labeling,,,
2,"US in a converging world, Hans Rosling on CNN;Gapminder Foundation, Mar 15, 2011",0:16,0:17,Y,pointing,,,,,https://www.youtube.com/watch?v=WjVHvC9EeB4&t=16s
,,0:17,0:21,Y,moving,,,,,
,,0:21,0:25,Y,pointing,,,,,
,,0:28,0:31,Y,moving,,,,,
,,0:33,0:35,Y,shaping,,,,,
,,0:38,0:43,,,Y,flickering,,,
,,0:45,0:53,Y,moving,,,,,
,,0:54,0:55,Y,pointing,,,,,
,,0:55,1:00,,,Y,labeling,,,
,,1:03,1:05,Y,moving,,,,,
,,1:10,1:20,Y,moving,,,,,
,,1:26,1:28,Y,moving,,,,,
,,1:32,1:40,Y,moving,,,,,
,,1:42,1:47,, ,,,Y,pause,
,,1:47,1:48,Y,pointing,,,Y,pause,
,,1:48,1:51,Y,moving,,,Y,pause,
,,1:51,1:53,Y,pointing,Y,labeling,Y,pause,
,,1:53,1:57,,,Y,labeling,Y,pause,
,,1:57,1:58,Y,pointing,Y,labeling,Y,pause,
,,1:58,1:59,,,Y,labeling,Y,pause,
,,1:59,2:00,Y,moving,Y,labeling,Y,pause,
,,2:00,2:02,,,Y,labeling,Y,pause,
,,2:02,2:04,Y,pointing,Y,labeling,Y,pause,
,,2:04,2:06,,,Y,labeling,Y,pause,
,,2:06,2:08,Y,moving,Y,labeling,Y,pause,
,,2:08,2:11,,,Y,labeling,Y,pause,
,,2:13,2:20,Y,moving,,,,,
,,2:22,2:27,Y,moving,,,,,
,,2:30,2:31,Y,moving,,,,,
,,2:40,2:43,,,,,Y,instant replay,
,,2:43,2:48,Y,moving,,,Y,instant replay,
,,2:59,3:00,Y,moving,,,,,
,,3:02,3:04,Y,pointing,,,,,
,,3:06,3:11,,,Y,tracing,Y,go backward,
,,3:11,3:13,Y,pointing,Y,labeling,,,
,,3:18,3:19,Y,pointing,Y,tracing,,,
,,3:19,3:22,Y,pointing,Y,labeling,,,
,,3:22,3:24,,,Y,tracing,,,
,,3:24,3:25,Y,pointing,Y,labeling,,,
,,3:52,4:00,Y,moving,,,,,
,,4:05,5:20,,,Y,labeling,,,
7,"Al Gore's CO2 Emissions Chart;An Inconvenient Truth, 2006",2:18,2:28,,,Y,tracing,,,https://www.youtube.com/watch?v=-JIuKjaY3r4&t=190s
,,2:31,2:32,Y,pointing,,,,,
,,2:34,2:38,Y,moving,,,,,
,,2:38,2:49,Y,pointing,,,,,
,,2:53,2:55,Y,moving,,,,,
,,3:00,3:04,Y,pointing,,,,,
,,3:09,3:18,,,Y,tracing,,,just play the animation
,,3:58,4:05,Y,pointing,,,,,
,,4:13,4:14,Y,shaping,,,,,
,,4:18,4:20,,,Y,tracing,,,
,,4:20,5:24,,,Y,flickering,,,보류
,,4:21,5:24,,,Y,labeling,,,
,,4:23,4:24,Y,pointing,,,,,
,,4:26,4:27,Y,moving,,,,,
,,4:50,4:54,Y,pointing,,,,,
,,5:14,5:24,Y,moving,Y,tracing,,,
,,5:24,5:26,Y,moving,,,,,
,,5:26,5:30,Y,pointing,,,,,
,,5:31,5:40,,,,,,,
8,"Unbreaking America: Solving the Corruption Crisis;RepresentUs, Feb 27, 2019",1:16,1:22,Y,shaping,,,,,https://www.youtube.com/watch?v=TfQij4aQq1k&feature=emb_logo
,,1:18,1:30,,,Y,labeling,,,
,,1:22,1:25,Y,pointing,,,,,
,,1:38,1:41,Y,shaping,,,,,
,,1:42,1:45,,,Y,labeling,,,
,,1:45,1:46,Y,shaping,,,,,
,,1:47,1:51,,,Y,labeling,,,
,,1:55,2:00,Y,pointing,,,,,
,,1:57,2:07,,,Y,labeling,,,
,,2:07,2:09,,,,,Y,move fast,
,,2:09,2:28,,,Y,labeling,,,
,,2:14,2:19,Y,pointing,,,,,
,,2:19,2:22,Y,shaping,,,,,
,,7:47,7:48,Y,shaping,,,,,
,,7:49,7:50,Y,pointing,,,,,
,,7:53,7:56,,,Y,labeling,,,
,,7:57,8:04,Y,moving,Y,tracing,,,
,,8:04,8:05,Y,pointing,Y,flickering,Y,move fast,
,,8:05,8:10,Y,pointing,,,,,
,,8:11,8:17,,,Y,tracing,,,
,,8:17,8:19,Y,pointing,Y,flickering,Y,move fast,
,,8:27,8:31,,,Y,tracing,,,
,,8:31,8:32,Y,pointing,Y,flickering,,,
,,8:33,8:35,Y,moving,Y,flickering,Y,move fast,
